"Date","Adjusted","logprice","logret"
2013-04-15,14.845606,2.69770392920807,0
2013-04-16,14.978651,2.70662592062948,0.00892199142141692
2013-04-17,14.759526,2.69188870483553,-0.0147372157939545
2013-04-18,14.822134,2.6961216041036,0.00423289926807424
2013-04-19,14.908216,2.70191247037709,0.00579086627348557
2013-04-22,14.947346,2.70453375899364,0.00262128861655242
2013-04-23,14.955172,2.70505719318595,0.000523434192309935
2013-04-24,15.1743,2.71960320738079,0.0145460141948357
2013-04-25,15.252557,2.72474716112917,0.0051439537483815
2013-04-26,15.127338,2.71650357048327,-0.00824359064589286
2013-04-29,15.2369,2.72372011749397,0.00721654701069285
2013-04-30,15.409063,2.73495584281105,0.0112357253170869
2013-05-01,15.260385,2.72526025489585,-0.00969558791520031
2013-05-02,15.31516,2.72884318750408,0.0035829326082264
2013-05-03,15.393422,2.73394027531094,0.00509708780686369
2013-05-06,15.409063,2.73495584281105,0.00101556750011023
2013-05-07,15.432547,2.73647872080209,0.00152287799103812
2013-05-08,15.565589,2.74506264448824,0.00858392368614735
2013-05-09,15.518632,2.74204136654024,-0.00302127794800411
2013-05-10,15.581241,2.74606769067224,0.00402632413199955
2013-05-13,15.518632,2.74204136654024,-0.00402632413199955
2013-05-14,15.565589,2.74506264448824,0.00302127794800411
2013-05-15,15.440374,2.73698576710119,-0.00807687738704965
2013-05-16,15.4795,2.73951656789833,0.00253080079714074
2013-05-17,15.620373,2.74857602376791,0.00905945586958001
2013-05-21,15.769058,2.75804966551929,0.00947364175138077
2013-05-22,15.784714,2.75904200337891,0.000992337859622605
2013-05-23,15.682981,2.75257611164865,-0.00646589173026202
2013-05-24,15.690801,2.75307461706709,0.0004985054184381
2013-05-27,15.729928,2.75556513981877,0.00249052275167916
2013-05-28,15.808191,2.7605282234224,0.00496308360362807
2013-05-29,15.784714,2.75904200337891,-0.00148622004348331
2013-05-30,15.792532,2.75953717006696,0.000495166688047721
2013-05-31,15.651676,2.75057800390391,-0.00895916616305126
2013-06-03,15.62819,2.74907633478465,-0.00150166911926242
2013-06-04,15.61254,2.74807443749805,-0.00100189728659483
2013-06-05,15.416898,2.73546418058315,-0.0126102569149036
2013-06-06,15.393422,2.73394027531094,-0.00152390527220581
2013-06-07,15.354294,2.73139517432711,-0.00254510098383198
2013-06-10,15.369945,2.73241397914462,0.00101880481751015
2013-06-11,15.158649,2.71857126014816,-0.0138427189964587
2013-06-12,15.041255,2.71079675918936,-0.00777450095880328
2013-06-13,15.244725,2.72423354157631,0.013436782386945
2013-06-14,15.142989,2.71753765256601,-0.00669588901029217
2013-06-17,15.244725,2.72423354157631,0.00669588901029217
2013-06-18,15.369945,2.73241397914462,0.00818043756831699
2013-06-19,15.238942,2.72385412527646,-0.00855985386815883
2013-06-20,14.875918,2.69974366381316,-0.0241104614633039
2013-06-21,14.92327,2.70292173966242,0.00317807584926433
2013-06-24,14.710196,2.68854085879378,-0.0143808808686408
2013-06-25,14.915376,2.70239262716957,0.0138517683757908
2013-06-26,14.875918,2.69974366381316,-0.0026489633564144
2013-06-27,14.946945,2.70450693112875,0.00476326731558663
2013-06-28,15.073215,2.71291932764227,0.00841239651352765
2013-07-02,15.152128,2.71814098413771,0.00522165649543904
2013-07-03,15.081107,2.7134427683736,-0.00469821576411089
2013-07-04,15.167913,2.71918220973672,0.00573944136312043
2013-07-05,15.12056,2.71605540710257,-0.00312680263415288
2013-07-08,15.223157,2.72281775536559,0.00676234826301902
2013-07-09,15.294187,2.72747282156441,0.00465506619882605
2013-07-10,15.317853,2.72901901088828,0.00154618932386485
2013-07-11,15.554609,2.74435699342165,0.0153379825333686
2013-07-12,15.523042,2.74232550070321,-0.00203149271843728
2013-07-15,15.601955,2.74739622691635,0.00507072621314153
2013-07-16,15.586172,2.7463841109052,-0.00101211601115514
2013-07-17,15.649308,2.75042669875615,0.0040425878509569
2013-07-18,15.728232,2.75545731405899,0.00503061530283544
2013-07-19,15.799248,2.75996234396354,0.00450502990454771
2013-07-22,15.886059,2.76544193216602,0.00547958820248517
2013-07-23,15.870275,2.76444786268056,-0.000994069485462656
2013-07-24,15.783469,2.75896312649198,-0.00548473618858214
2013-07-25,15.77558,2.75846317478784,-0.000499951704141743
2013-07-26,15.767684,2.75796252906107,-0.000500645726766002
2013-07-29,15.77558,2.75846317478784,0.000500645726766002
2013-07-30,15.688769,2.75294510605067,-0.00551806873717053
2013-07-31,15.586172,2.7463841109052,-0.00656099514546815
2013-08-01,15.704552,2.75395060663659,0.00756649573138946
2013-08-02,15.720332,2.75495490637092,0.00100429973433336
2013-08-06,15.538824,2.74334166640028,-0.011613239970643
2013-08-07,15.467795,2.7387601204894,-0.00458154591088089
2013-08-08,15.649308,2.75042669875615,0.011666578266758
2013-08-09,15.625637,2.74891296279147,-0.0015137359646813
2013-08-12,15.696658,2.75344782345299,0.00453486066151676
2013-08-13,15.767684,2.75796252906107,0.00451470560808032
2013-08-14,15.759791,2.75746182292048,-0.000500706140590168
2013-08-15,15.830819,2.76195860976243,0.00449678684195076
2013-08-16,15.893951,2.76593859658886,0.00397998682643053
2013-08-19,15.704552,2.75395060663659,-0.0119879899522743
2013-08-20,15.815031,2.76096081692009,0.00701021028350501
2013-08-21,15.696658,2.75344782345299,-0.0075129934671021
2013-08-22,15.822927,2.76145996418895,0.00801214073595791
2013-08-23,15.933416,2.76841853910036,0.00695857491141272
2013-08-26,15.933416,2.76841853910036,0
2013-08-27,15.704552,2.75395060663659,-0.0144679324637735
2013-08-28,15.751899,2.75696092943206,0.00301032279547631
